# dino/base 外觀動畫 manifest；放在 SD 卡：/index/dino_base.txt
# 格式：動畫名稱|格式(bmp/rle)|影格數|寬|高|影格間隔毫秒|SD 資源路徑

# Pet Behavior 基礎與 named animations
Idle|bmp|3|128|96|6|/dino/base/idle
Wave|bmp|2|128|96|6|/dino/base/wave
Dance|bmp|2|128|96|8|/dino/base/dance

# 猜物小遊戲動畫
GuessStart|bmp|2|128|96|8|/dino/guess_game/guess_start
GuessItem1|bmp|4|128|96|8|/dino/guess_game/1
GuessItem2|bmp|4|128|96|8|/dino/guess_game/2
GuessItem3|bmp|4|128|96|8|/dino/guess_game/3
GuessItem4|bmp|4|128|96|8|/dino/guess_game/4
GuessLL|bmp|2|128|96|8|/dino/guess_game/ll
GuessLR|bmp|2|128|96|8|/dino/guess_game/lr
GuessRL|bmp|2|128|96|8|/dino/guess_game/rl
GuessRR|bmp|2|128|96|8|/dino/guess_game/rr
GuessRight|bmp|4|128|96|10|/dino/guess_game/right
GuessWrong|bmp|4|128|96|10|/dino/guess_game/wrong
GuessWin|bmp|5|128|96|10|/dino/guess_game/win
GuessLoss|bmp|2|128|96|10|/dino/guess_game/loss

# 狀態畫面動畫
StatusAge|bmp|3|128|96|6|/status/age
Status|bmp|64|128|96|6|/status

# 預言動畫
PredAnim|bmp|23|128|96|10|/predict/anim
Predict1|bmp|2|128|96|8|/predict/1
Predict2|bmp|2|128|96|8|/predict/2
Predict3|bmp|2|128|96|8|/predict/3
Predict4|bmp|2|128|96|8|/predict/4
Predict5|bmp|2|128|96|8|/predict/5
Predict6|bmp|2|128|96|8|/predict/6
Predict7|bmp|2|128|96|8|/predict/7
Predict8|bmp|2|128|96|8|/predict/8
Predict9|bmp|2|128|96|8|/predict/9
Predict10|bmp|2|128|96|8|/predict/10
Predict11|bmp|2|128|96|8|/predict/11
